Mass,10EV,15EV,20EV,25EV
347.0970652,0,0.022838722,0.009917529,0
334.0867873,0.003226081,0.003277687,0,0
333.0801174,0.002716382,0.026847368,0.014342743,0.000173329
317.0858616,0,0.029075343,0.01453789,9.11E-05
308.0705311,0,0.00072349,0,0
303.0679246,0.001734755,0.009017253,0.005785326,0
291.0698893,0,0.003746902,0.001203779,0
275.075425,0.002495286,0.016358809,0.009334969,0
273.0590416,0,0.00675328,0.003353647,0
261.0576248,0.00146003,0.01184765,0.005207887,0
259.0427295,0.000562881,0.001906551,0,0
257.0639233,0,0.009093001,0.040330331,0.008281814
249.05795,0,0.001648112,0.000938869,0
245.064426,0.004945448,0.079970204,0.051245347,0.008346412
244.0549678,0.009047494,0.032916938,0.021898573,0.002358757
231.0490943,0.029099581,0.14339934,0.124918753,0.027282628
219.0485707,0,0.000957792,0.000346711,0
218.0401509,0.004986947,0.022374032,0.012984013,0.000591998
203.0535342,0.013599951,0.046679619,0.037906259,0.005871609
202.043907,0.000114237,0.001159864,0.000694358,0
201.0385396,0.032864604,0.151657998,0.107388338,0.020668464
191.0554034,0,0,0.003261943,9.75E-05
187.0586193,0.005330835,0.004287044,0.002006358,0
186.0500118,0.00807252,0.024435398,0.016192606,0.001572302
185.0428321,0.011595753,0.095437057,0.064584983,0.012812678
184.034336,0.000494075,0.004763955,0.00655902,0
173.0428208,0.001543402,0.007292507,0.008559946,0.001089647
171.0265986,0,0.010271492,0.012929714,0.001656598
169.0477506,0.00207646,0.054166588,0.039799295,0.006717559
168.0398243,0,0.002116945,0.000538402,0
167.0316719,0,0.003938521,0.003122074,0
163.0605111,0,0,0.002671987,0
158.0541782,0,0.000531726,0,0
157.0470841,0,0.010756952,0.006295681,0.000234224
156.0395712,4.48E-05,0.003034804,0.001518428,0
155.0318439,0,0.016097041,0.009764665,0.000431613
145.0494726,0,0.000134935,0.018183712,0.003151315
144.001149,0,7.27E-05,0.000851789,0
143.0315952,0,0.001440925,0.001814291,0
141.0529356,0,0.002001536,0.001506543,0
140.0439608,0,0.000301698,7.84E-05,0
139.0366257,0,0.00252063,0.001425793,0
138.028225,0,0.000943307,0.000280984,0
137.0208112,0,0.001683875,0.000272651,0
128.0443495,0,0.000294916,8.60E-05,0
127.0378318,0,0.00799755,0.018249547,0.003910937
126.0295785,0,0.001031554,0.000729046,0
125.0209319,0,0.008213926,0.005443228,9.99E-05
113.0208433,0.000334785,0.016531217,0.011929675,0.000918391
112.012469,0,0.004456137,0.007550659,0.00071252
111.0045942,0,0.001956043,0.000628442,0
109.0278442,0,5.06E-05,0.001179931,0
108.017731,0,0.000764195,0,0
