mz,8EV,10EV,15EV,20EV,25EV
134.0352255,0,0,0.004199661,0.005402885,0
135.0440387,0,0,0.00606081,0.003346504,0
137.0248785,0,0.004663082,0.033536381,0.023866333,0.005510388
153.0191473,0,0,0.003715307,0.003259086,0
161.0273519,0,0,0.002096434,0,0
165.0186,0,0,0.011235872,0.006646305,0.000490398
177.0179822,0,0,0.006921973,0.004563597,0
179.0328462,0,0,0.004701568,0.003407472,0
181.011562,0,0,0.014508944,0.017932237,0.004384458
183.0290096,0,0.001552488,0.013021847,0.008115797,0.000453816
192.0413202,0,0,0.00271241,0.000479873,0
197.0083106,0,0,0.006600867,0.007009392,0.000354784
203.0351335,0,0,0.003367749,0.002941721,0
215.5484343,0,0,0.004532782,0.014643199,0.004667407
224.5561669,0,0,0.027493413,0.036973574,0.010141444
229.048291,0,0,0.003803328,0.002813258,0
243.0650547,0,0,0.002655093,0.001746139,0
257.044466,0,0,0.000985126,0.001461464,0
258.0523245,0,0,0.005201241,0.004685674,0
259.059948,0,0.002989829,0.002337465,0.000598186,0
261.0380042,0,0.004513396,0.002092609,0.000966794,0
269.041139,0,0,0.001152723,0.000678564,0
270.0513874,0,0,0.004822339,0.002942999,0
271.0609577,0,0.000722681,0.0098031,0.008735839,0.000527515
272.0692541,0,0.000423994,0.009160655,0.007928429,0.000573171
285.0396678,0,0,0.001005959,0.002804094,0
286.0455528,0,0.003180927,0.015983982,0.01310719,0.00143488
287.0530931,0.001106668,0.009222462,0.012617213,0.010070814,0.000392427
289.0316925,0,0,0.000793009,0.002961893,0
298.0462742,0,0.00268932,0.011052262,0.010275985,0.000544013
299.0578632,0.032598107,0.127668449,0.165055949,0.115576459,0.027302427
300.0625664,0.002073783,0.035719334,0.087556626,0.062834174,0.01280938
301.068833,0,0.002416629,0.001043339,0.002263274,0
310.0519091,0.000514936,0.01031928,0.012296122,0.009805186,0.000344811
311.0559992,0.016351709,0.056774113,0.063709125,0.047906157,0.009583578
313.0339742,0,0,0,0.01924474,0.001973759
313.0722685,0,0.006562283,0.028128369,0.013399951,0.000648345
314.0392891,0,0.007146308,0.040998952,0.049033304,0.010100487
315.0532788,0.012132093,0.103434177,0.266174967,0.237166021,0.07271758
323.0573048,0,0.000722962,0.002467971,0.001626131,0
324.057498,0,0.00140842,0.003358709,0.00237859,0
325.0696081,0,0.004344984,0.00563827,0.002803115,0
326.0444498,0,0,0.001166101,0.00061968,0
327.0509077,0,0.011938262,0.020906196,0.01516506,0.002649141
328.0589167,0.00277289,0.046355982,0.098829145,0.063264794,0.013110288
329.0702664,0.107340785,0.276283232,0.258228697,0.180785045,0.043924412
331.0440882,0,0.000501266,0.012292935,0.024701281,0.004975709
332.0529886,0,0,0.002080076,0.001633368,0
339.0851847,0,0.016946263,0.014311656,0.004857469,0
340.0545341,0,0,0.000652245,0.00136977,0
341.0632848,0,0.00797749,0.016249368,0.00990239,0.00117316
352.055632,0,0.005585701,0.008637339,0.004710455,0
353.066559,0.021039283,0.078463692,0.030938817,0.023773766,0.00414313
357.0647988,0,0.003313644,0.008218832,0.006110966,0
359.0762883,0.008581316,0.035328937,0.020361256,0.014633576,0.002127341
365.0674104,0,0.004323846,0.001766812,0,0
367.0878531,0,0.018467429,0.00692955,0.005073741,0
371.081655,0,0.008395187,0.005427415,0.004129691,0
383.0790481,0.024713912,0.063270627,0.028547646,0.019833302,0.003219847
395.0723867,0.011244814,0.049903055,0.016868374,0.012562709,0.000994186
399.0699572,0,0.000428511,0.003476253,0.000404077,0
412.0691573,0,0.004891303,0.002621492,0.001421214,0
412.0951934,0,0.001468735,0.000887379,0.00084076,0
413.0890761,0.062329357,0.168704367,0.061103397,0.046553025,0.010825176
430.0887554,0,0.019094129,0.019315039,0.014048428,0.002554095
431.1000208,0.234762127,0.259153616,0.10710066,0.085896436,0.022247277
